Breakdown,3/31/2025,3/31/2024,3/31/2023,3/31/2022
Total Assets,"19,50,12,10,000","17,55,98,60,000","16,07,43,10,000","14,99,66,50,000"
Total Liabilities Net Minority Interest,"9,40,49,30,000","8,30,19,80,000","7,78,55,00,000","6,10,68,10,000"
Total Equity Gross Minority Interest,"10,09,62,60,000","9,25,78,80,000","8,28,88,10,000","8,88,98,40,000"
Total Capitalization,"10,80,09,90,000","10,16,19,30,000","8,99,04,80,000","9,67,18,40,000"
Common Stock Equity,"8,43,20,00,000","7,93,48,10,000","7,15,87,20,000","7,79,48,50,000"
Capital Lease Obligations,"22,04,50,000","21,52,00,000","20,42,60,000","15,66,90,000"
Net Tangible Assets,"4,34,26,10,000","4,33,10,70,000","3,85,07,70,000","5,47,68,70,000"
Working Capital,"45,53,30,000","72,73,30,000","29,55,30,000","38,35,70,000"
Invested Capital,"11,90,73,00,000","11,18,10,30,000","10,29,83,80,000","10,45,79,00,000"
Tangible Book Value,"4,34,26,10,000","4,33,10,70,000","3,85,07,70,000","5,47,68,70,000"
Total Debt,"3,69,57,50,000","3,46,14,20,000","3,34,39,20,000","2,81,97,40,000"
Net Debt,"2,46,88,50,000","2,31,08,20,000","2,79,81,00,000","2,32,79,60,000"
Share Issued,"1,35,32,871.49","1,35,32,218.03","1,35,32,188.03","1,35,31,988.03"
Ordinary Shares Number,"1,35,32,871.49","1,35,32,218.03","1,35,32,188.03","1,35,31,988.03"
